Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
Pittsburgh Penguins,82,51:38,46,25,11,43,103,0.628,58.46,54.26,51.86,45.46,40.78,52.71,33.9,30.89,52.32,3.06,2.55,54.55,2.87,2.55,52.9,29.77,26.53,52.88,18.98,16.75,53.11,2.56,2.2,53.87,13.52,86.89,12.17,10.61,53.42,9.79,8.39,53.86,1.83,1.53,54.43,18.67,81.76,17.6,15.91,52.52,9.18,8.36,52.34,0.74,0.67,52.53,8.02,92.03,25.1,24.01,51.11,13.35,12.68,51.28,0.35,0.31,53.19,2.65,97.54,9.03,91.74,1.008,2022-12-18
Tampa Bay Lightning,82,50:21,51,23,8,49,110,0.671,54.92,52.93,50.92,42.47,40.42,51.24,29.93,29.19,50.63,3.14,2.53,55.38,2.81,2.57,52.22,31.01,28.01,52.54,18.1,16.45,52.4,2.7,2.08,56.53,14.93,87.37,13.16,10.64,55.31,9.28,7.88,54.11,1.8,1.48,54.87,19.41,81.18,17.84,17.38,50.66,8.82,8.57,50.71,0.9,0.6,60.19,10.21,93.05,21.31,22.32,48.85,10.94,11.57,48.61,0.39,0.35,52.94,3.59,96.98,10.49,91.34,1.018,2022-12-18
Seattle Kraken,82,51:06,27,49,6,24,60,0.366,53.6,51.85,50.83,39.83,39.22,50.38,28.39,28.12,50.24,2.48,3.14,44.13,2.31,2.6,47.03,25.47,25.35,50.11,15.07,14.7,50.63,1.92,2.62,42.27,12.73,82.18,9.92,10.31,49.04,7.32,7.56,49.18,1.17,1.72,40.59,16.05,77.27,15.55,15.05,50.82,7.76,7.14,52.07,0.74,0.9,45.22,9.59,87.37,24.52,22.95,51.66,12.35,11.94,50.85,0.47,0.42,53.23,3.82,96.52,8.72,88.85,0.976,2022-12-18
Vegas Golden Knights,82,52:07,43,31,8,39,94,0.573,61.68,55.81,52.5,45.97,39.93,53.51,33.95,29.25,53.72,2.98,2.67,52.74,2.98,2.71,52.31,30.16,28.61,51.33,18.05,16.42,52.36,2.36,2.15,52.34,13.06,86.92,12.67,11.79,51.81,9.26,8.38,52.51,1.59,1.46,52.07,17.12,82.58,17.49,16.82,50.98,8.79,8.04,52.21,0.77,0.69,52.88,8.79,91.45,26.37,22.67,53.78,14.08,11.2,55.69,0.52,0.45,53.62,3.69,95.99,8.76,90.88,0.996,2022-12-18
Montreal Canadiens,82,50:08,22,49,11,19,55,0.335,52.71,59.55,46.95,39.08,45.24,46.35,29.55,33.61,46.79,2.57,3.43,42.82,2.48,3.04,44.91,25.95,31.71,45.0,15.15,19.09,44.25,2.07,2.87,41.89,13.68,84.94,10.86,13.22,45.09,7.69,9.66,44.32,1.17,2.07,36.04,15.18,78.55,15.09,18.49,44.94,7.46,9.43,44.17,0.9,0.8,52.99,12.13,91.49,22.34,23.3,48.95,12.84,12.87,49.94,0.44,0.42,50.85,3.41,96.71,8.69,89.8,0.985,2022-12-18
Toronto Maple Leafs,82,51:23,54,21,7,51,115,0.701,60.84,53.37,53.27,46.05,41.06,52.87,33.45,30.25,52.51,3.36,2.93,53.39,3.03,2.47,55.09,33.7,27.06,55.46,20.19,16.61,54.85,2.85,2.56,52.63,14.1,84.58,13.42,10.76,55.5,9.75,7.84,55.42,1.79,1.68,51.64,18.39,78.58,20.27,16.3,55.43,10.43,8.77,54.34,1.05,0.88,54.41,10.1,89.94,24.09,22.83,51.33,12.06,12.07,49.97,0.38,0.36,51.92,3.19,97.05,10.04,90.31,1.003,2022-12-18
New York Rangers,82,51:45,52,24,6,48,110,0.671,50.26,55.75,47.41,38.23,41.58,47.9,28.03,29.77,48.5,2.64,2.29,53.58,2.51,2.58,49.35,25.36,28.9,46.74,15.17,16.44,47.99,2.16,1.95,52.58,14.26,88.13,11.14,11.79,48.58,8.27,8.51,49.28,1.51,1.33,53.23,18.29,84.39,14.22,17.11,45.4,6.9,7.93,46.52,0.65,0.62,51.11,9.43,92.16,21.67,23.57,47.91,11.61,12.0,49.16,0.38,0.31,55.1,3.29,97.41,9.43,92.31,1.017,2022-12-18
Washington Capitals,82,51:05,44,26,12,39,100,0.61,55.84,54.68,50.52,42.76,40.41,51.41,30.5,28.57,51.64,3.06,2.69,53.23,2.71,2.52,51.82,27.85,27.35,50.45,16.4,15.68,51.12,2.43,2.22,52.31,14.85,85.84,10.84,10.87,49.93,7.55,7.7,49.48,1.48,1.55,48.82,19.54,79.93,17.01,16.48,50.79,8.85,7.98,52.6,0.96,0.67,58.77,10.84,91.56,23.97,23.16,50.87,12.55,11.6,51.96,0.47,0.43,52.38,3.77,96.3,10.05,90.58,1.006,2022-12-18
Chicago Blackhawks,82,51:14,28,42,12,22,68,0.415,50.65,59.31,46.06,36.93,43.43,45.96,27.65,32.37,46.06,2.34,3.28,41.62,2.2,2.73,44.65,24.28,29.02,45.55,14.91,17.29,46.3,2.01,2.68,42.86,13.51,84.48,8.98,10.42,46.28,6.87,7.95,46.34,1.23,1.66,42.57,17.88,79.17,15.29,18.59,45.13,8.04,9.34,46.26,0.79,1.03,43.31,9.77,88.99,23.05,26.68,46.35,11.62,13.94,45.47,0.3,0.44,40.38,2.58,96.82,8.47,89.85,0.983,2022-12-18
Colorado Avalanche,82,50:15,56,19,7,52,119,0.726,61.79,55.62,52.63,45.11,42.27,51.62,34.13,31.86,51.72,3.42,2.61,56.76,2.84,2.56,52.58,30.36,26.28,53.6,18.29,16.37,52.77,2.69,2.07,56.57,14.73,87.37,11.39,11.65,49.43,8.5,8.63,49.62,1.67,1.4,54.5,19.69,83.81,18.97,14.63,56.46,9.78,7.73,55.86,1.02,0.67,60.34,10.42,91.34,27.05,24.88,52.09,14.11,13.91,50.36,0.6,0.44,57.75,4.23,96.86,10.03,91.82,1.018,2022-12-18
